  Wind_max,  Wind_mittel,Niederschlagsform,  Bedeckungsgrad, Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m
8.9,3.6,1,7.4,980.54,11.1,93.29,14,8.8
5.7,1.8,1,6.8,982.76,11.1,91.83,15.2,8.6
8.7,3.8,1,7.5,981.65,11.8,95.71,15.7,9.6
7.7,3.4,0,6,981.95,12.6,90.54,16,9.6
11.3,4.4,1,6,985.5,13.2,89.42,17.5,10.4
6.2,1.6,1,5.1,989.49,13.3,92.79,19,9.7
5,1.5,0,0.2,989.68,13.6,86.42,21.3,7.2
7,1.7,0,0,987.83,14.4,83.83,22.2,7.5
6.2,1.8,0,0.4,986.96,16.4,72.67,23.5,10.9
4.6,1.5,0,2.3,983.8,15.1,74.21,21.6,9.8
9.8,3,0,3.1,977.92,13.9,75.08,20.4,8.8
9.8,2.5,1,3.9,975.43,15.1,66,22.4,8.5
13.9,4,1,5.3,976.92,13,71.46,16.5,8.9
9.9,4.4,1,6.7,978.2,11.6,89.63,15.5,9
13.2,5.7,1,7.5,979.2,8.1,87.83,9.4,6.4
8.2,4,1,7.7,984.03,8.8,91.63,10.8,6.9
7.7,3.9,1,8,986.96,11.3,96,13.2,9.5
6.7,2.9,1,6.8,986.61,12.4,96.75,14.7,7.1
4.1,1.1,1,6.5,987.3,10.5,97.83,13.6,6.4
12,3.3,1,4.7,989.06,10.2,82.04,13.8,4.2
14.6,5.7,1,6.3,986.59,7.1,87.04,9.2,2.9
17.3,6.1,1,5.5,978.45,8.6,85.13,11.5,2.1
7.4,2,0,2.5,987.85,4,84.17,9.9,-0.1
4.1,0.9,0,2.8,989.09,4.2,80.58,10.1,-1.7
3.6,1,0,5.6,984.95,7.3,75.58,14.4,2.4
9.6,3.5,1,7.5,978.9,8.9,83.92,10.4,6.8
4.6,1.8,0,6.6,978.23,8.8,88.75,12.4,5.8
10.8,3.2,1,6.8,972.78,11.1,84.46,16.4,5.5
14.2,4.1,1,7.5,973.31,7.6,88.5,11.5,1.6
6.5,2.2,0,4.6,983.88,3.3,83.54,8.3,-1.8
8.6,3.1,1,5.9,981.36,3.9,87.46,5.7,0.9
4.1,1.9,1,8,979.67,5.3,97.33,5.9,4.8
7.2,2.5,1,8,985.35,5.5,93.63,6.7,4.3
12.5,5,1,7.8,982.04,4.7,95.46,7,3
13,5,1,7.9,974.82,6.7,94.33,9.7,4.2
12.9,3.1,1,7.5,967.05,4,95.25,6.5,1.7
8.6,2.6,1,4.9,978.48,3.8,88.38,7.5,-0.4
4.6,1.2,0,5.3,987.45,1.1,95.71,6.5,-2.3
5.7,1.9,0,6.2,987.93,1.8,92.04,6.5,-0.5
7.7,2.6,1,6.7,986.38,1.1,96.58,2.1,0.1
3.1,1.1,1,7.8,987.61,3.3,96.29,6.2,0.8
13.7,3.8,1,7.6,984.38,4.2,86.79,5.7,3.2
12.2,4.6,1,5.6,981.77,4,82.67,6.9,-0.5
11.8,4,1,7,982.86,1.7,93.67,4.6,-1.1
10.8,5.7,1,8,978.77,5.8,95.54,6.8,4.6
9.1,4.1,0,4.2,974.31,7.7,77.63,12.1,3.4
15.9,7.2,1,6,972.05,11.6,68.33,14.9,7.8
12.9,6.4,1,7.7,974.15,10.7,82.67,11.9,9
10.3,4.1,1,7.3,975.2,5,91.88,9,1.4
9.3,4.6,1,7.5,985.96,2,88.46,3.3,1.3
17,7,1,8,982.73,3.1,93.04,4.3,1.2
15.8,5.6,1,7.6,970.5,3.4,93.92,4.4,1.8
7.2,3.2,1,6.8,967.95,1.8,91.04,2.9,0.5
9.6,3.7,1,7.6,967.89,0.6,93.46,2.4,-1.4
6.7,2.3,1,6.9,974.92,-0.2,89.42,1.5,-1.2
8.6,3.4,1,4.5,985.6,-1,83.04,1.6,-3.3
7.7,3.2,1,7.8,988.08,-1.8,86.29,-0.9,-2.3
6.7,3.8,1,8,993.05,0.6,98.46,2.3,-1
7.2,3.2,0,8,997.65,3,94.54,4.4,1.8
4.6,2.3,0,7.7,994.33,3,91.29,3.9,0.5
15.6,6.6,1,6.3,982.03,2.8,84.83,6.4,-1.3
16.3,5.8,1,5.9,974.73,2,89.88,6.1,-1.4
12.9,6,1,7.2,977.65,-1,81.33,-0.2,-2
