  Wind_max,  Wind_mittel,Niederschlagsform,  Bedeckungsgrad, Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m
7.7,2.1,0,0.3,988.39,10.7,74.63,18.6,3.5
6.2,2.5,0,0.5,981.42,13.7,70.54,22.2,5.7
8.7,2.9,1,4.2,974.33,15.2,71.08,20.6,9
8.7,2.7,0,3.7,977.91,13.9,79.75,19.6,8.9
6.7,2.6,0,1.8,982.93,13.1,77.63,20.5,7.5
7.2,2.5,0,3.6,983.48,13.8,81.54,20.6,8.5
10.3,3.9,0,0.3,978.63,14.5,80.29,19.7,10
6.3,2.3,1,3.7,977.07,14.9,76.33,21.3,8.9
9.8,3.1,0,5,983.82,18.7,67.21,25,13.8
4.6,1.8,0,0.9,982.31,18,65.29,25.3,12.4
7.7,2,0,1.5,975.23,17.7,65.46,24.7,12.1
6.5,2.1,0,1,976.48,16.3,63.04,23.6,9.8
8.1,2,0,2.1,980.78,15.1,66,23.3,8.5
5.7,2.5,0,5.2,981.08,15.1,68.71,22.5,8.4
10.3,4.2,0,3.2,982.56,14.5,73.5,20.3,10.3
9.1,4,0,2.3,984.82,12.6,78.83,18.3,9
7.9,2.7,0,3.8,990.02,11.4,77.42,17.5,5.7
9.1,3.6,0,0.9,989.07,9.5,70,16.4,4.8
8.7,3.8,0,3.4,990.75,10.1,69.71,16.1,4.9
12.7,4.1,0,5.3,990.21,7.4,77.54,13.1,1.2
10.3,4.4,1,7.8,987.38,10.7,89.5,12.5,8.5
7.9,3.4,1,7.2,982.49,11,85.21,13.5,5.6
10.8,4.3,1,7.3,973.41,8.4,82.17,10,6.4
7.7,3,1,7.4,970.9,5.8,75.63,8,3.7
15.6,6.6,1,7.8,970.16,4.6,77.67,6.1,3.5
17,5.8,1,8,960.07,4.3,87.04,5.3,3.4
18.3,7.7,1,6.5,959.32,3.8,88.71,5.6,1.5
9.1,3.4,1,5.3,975.04,5.6,82.92,9.6,0
9.9,2.7,1,6.8,974.64,7,88.21,10.6,3.4
9.4,2.5,0,5,984.47,7.9,84.75,12.9,3.7
8.2,3.6,0,5.8,987.69,7,76.5,11.8,2.8
9.1,3.6,0,6.4,977.65,9.6,80.42,13.3,7.6
9.3,2.5,0,5.3,971.17,9.7,85.5,14.2,5.6
6.7,2.5,0,6.7,970.51,9.4,85.63,14.1,5.5
13.4,3.8,1,6.3,974.1,12,71.75,16.9,9.4
8.6,3,1,7.2,981.66,9.6,82.46,12.3,7.4
7.2,2.5,1,6.5,976.34,10.8,79.88,14.7,6.9
13.7,4.6,1,7.8,970.2,12.2,82.63,13.7,10.6
11.3,4.4,1,5.6,973.38,12.3,80.79,16.1,9
12.9,3.8,1,7,978.34,14.6,76.75,19,11.3
11.3,3.7,1,5,988.7,9.2,90.33,11.9,3.6
6.9,2.5,1,3.9,990.2,6,91.29,12.4,2.1
7.7,3.8,1,8,988.12,4.4,99.63,5.1,3.5
9.3,4.4,0,3.8,988.48,5.2,83.42,10,2
13.9,5.9,0,0.1,987.63,4.1,70.46,8.6,0.5
11.8,5.4,0,0.7,984.58,2.6,60.25,6.7,-0.2
13,5.9,1,5.7,974.43,0.9,77.08,2.5,-1.7
15.8,6,0,6,967.92,1.9,72,3.7,0.2
8.2,3.8,0,7.2,975.91,0.9,86.33,2.2,-0.6
6.7,3.2,0,4,980.55,1.4,83.92,5.4,-1.4
8.9,4,1,3.8,978.19,1.7,85.92,6.7,-2.1
9.8,3.5,1,7.4,973.78,5.4,91.71,8.4,1.3
8.7,3.3,1,7.4,970.25,5.4,93.38,6.7,3.8
9.1,3.4,1,8,970.81,4.5,85.71,5.5,3.3
4.8,1.4,1,7.8,980.45,3.3,88.83,4.6,2.6
5.7,2.8,1,7.7,983.47,4,92.92,5.6,2.5
9.8,3,1,7.1,978.92,5.9,85.79,8.5,3.3
7.9,3.6,1,7.8,976.65,7.4,87.42,8.4,6.3
10.8,4.4,1,7.8,977.53,6.8,89.46,9.7,5.8
15.3,7.5,1,8,968.85,8.9,96.63,10.9,6.2
17.8,7.3,1,7.8,968.55,11.2,94.17,12.4,9.3
14.1,3.8,1,5.5,981.72,6.3,88.71,9.5,1.6
7.2,2.4,1,7.5,984.62,4.5,93.92,6.4,2.3
11,4.5,1,8,981.32,9.2,96.5,10.8,5.6
19.9,8,1,8,975.01,9.1,86.75,10.7,6.1
21.6,9.1,1,8,972.52,6.4,87.08,9.6,4.8
22.1,9,1,7.5,969.36,6.8,86.29,9.6,4.5
11.5,4.9,1,4.5,984.23,4.1,83.88,5.8,0.7
6.9,2.3,0,4.5,986.07,0.1,95.04,2.1,-1.9
8.1,2.4,0,6,984.36,0.5,90.13,3.7,-1.8
11.3,5.2,0,5,978.7,-0.8,76.88,0.8,-2.1
10.1,4.1,1,7.9,981.43,-0.8,67.63,-0.3,-1.4
8.7,3.5,1,7.4,983.65,-1.8,69.83,-0.6,-3.4
8.6,2.4,1,8,975.06,0.3,96.54,2.8,-2.8
7.2,2.9,1,7.3,983.27,3.6,96.04,6.2,0.8
7.2,3.1,1,7,983.98,3.8,84.13,6.1,1.4
10.1,3.4,1,7.8,976.67,6.4,87.88,8.6,3.6
12.5,5.6,1,7.5,977.99,5.7,92.71,6.7,5
21.8,9.2,1,7.8,974.1,7.6,94.38,9.4,5.5
17.7,7.2,1,7.6,979.69,9.1,91.75,10.4,7.7
15.9,6.1,1,7.6,982.51,8.8,94.58,11.7,6.8
16.3,3.8,1,5.5,989.31,5.1,82.08,11.7,-1.5
5.1,1.7,0,1.2,996.51,-0.9,86.54,3.3,-4.2
3.1,1.2,1,6.3,993.69,-3.7,95.67,-2.4,-5.8
3.1,0.9,0,6.1,989,-3.3,94.67,-1.9,-5.5
3.6,1.5,1,7.9,991.15,-2,97.21,-1.5,-3
10.6,2.4,1,8,994.76,-0.3,97.63,2.3,-2
8.7,3.6,1,7.9,995.39,4.1,95.79,5.6,2.2
5.1,1.8,1,7.9,995.4,5.7,99.21,7,4.6
10.1,4.1,1,7.5,992.42,4.9,95.54,5.9,3.3
11.7,3.6,1,5.4,995.66,2,75.5,4.1,-3.4
4.1,1.7,1,5.5,998.73,-0.7,90.92,1.7,-4.9
7,2.2,1,6.1,997.51,0.5,87.92,2.9,-2.9
8.2,4.3,1,8,993.19,2.2,95,4.6,0
8.7,3.3,1,7.8,993.95,2.9,91.54,3.4,2.4
11.3,3,1,7.8,993.75,2.8,89.5,4.5,1.9
13.9,6.4,1,7.4,981.4,4.3,89.17,5.6,2.5
12.9,4,1,6.4,978.75,1.7,84.71,3.6,-0.2
7.2,2.4,1,7.3,985.48,0,75.21,1.1,-2.5
6.2,2.8,1,7.9,987,-0.8,92.04,0.6,-2.6
11.8,5.1,1,8,983.49,3.3,95.67,5.6,0.6
16.5,7.5,1,7.9,972.43,6.7,94.79,8.1,5.3
12.9,4.5,1,5.1,976.09,3.8,85.08,6.4,-0.5
10.5,4,1,7.4,983.38,3.1,84.75,4.9,0.2
10.1,4.4,1,7.4,975.11,3.5,72.04,5,1.6
18,6.6,1,6.5,970.23,3.4,84.63,5.6,-0.5
7.7,2.4,0,5.2,980.12,-0.7,79.83,2.8,-3.9
6.2,3,0,2.8,976.67,-2.4,77.13,1.7,-4.9
7.9,3.4,0,6.2,976.58,-3.6,79.71,-0.9,-5.7
8.6,2.7,0,1.7,981.84,-4.9,81.25,-0.6,-8.2
6.2,1.9,1,7.3,971.3,-4.1,85.63,-2.2,-8.8
7.4,3.1,1,8,960.66,-2.6,83.58,-1.3,-3.8
6.2,2.2,1,7.8,971.27,-3.6,71.75,-2.9,-4.4
10.6,3.7,1,8,977.65,-2.1,81.29,-0.5,-4.4
13.2,5.9,1,8,972.55,1.3,94.33,4,-1.1
16.5,7.9,1,8,955.31,3.8,87.88,5.6,0.9
12.3,6.3,1,7.8,961.74,0.8,90.17,1.8,0.1
7.4,3.2,1,6.8,966.73,0.3,80.58,3.3,-2.4
14.9,5.7,1,7.5,956.17,-0.8,86.54,0.6,-2.9
9.1,3.4,1,7.4,957.37,-0.9,86.71,2.1,-3.5
7.2,3,1,8,952.13,2,94.71,3.3,0
4.6,2,1,7.8,959.04,2.6,93.88,4.8,0.9
9.9,3.3,1,7,979.45,1.2,78.46,2.9,-1.6
6.2,1.4,0,4.7,989.47,-0.5,77.17,4.1,-5.2
3.1,1.1,0,2.2,989.45,0.5,74.63,6.6,-3.8
4.1,1.5,1,5,986.43,0.6,72.71,8.1,-4.6
11.3,4.9,1,7.5,977.68,3.3,87.58,6.1,0.9
13.7,5.9,1,7.6,977.59,5,80.79,7.3,2.9
16.8,7.1,1,7.5,973.55,6.3,79.79,8.9,4.7
26.2,8.5,1,7.8,964.75,6.2,80.92,9.6,3.3
12.2,5.3,1,5.7,981.86,3.1,80.46,5.3,0.5
5.5,1.9,0,3.6,996.18,0.5,87.04,5.3,-2.9
5.1,1.4,0,3.1,997.67,2,76.29,9.1,-4.1
6.7,2.5,0,2,996.68,4.5,64.08,12.3,-1.7
8.4,3.5,0,0,993.04,6.1,59.08,14.6,0.9
5.1,1.8,0,0.8,989.32,6.2,65.21,14.8,-1.3
13.2,2.6,0,2.8,985.57,8,48.96,16.5,0.1
9.6,3.2,0,1.9,982.14,8.7,51.17,15.3,4.7
7.5,3.3,1,6,982.84,5.8,73.42,9,0.8
5.3,1.1,0,5.4,986.2,4.1,82.42,11.6,-2.3
8.1,1.8,1,4.3,990.05,7.3,77.17,13.8,0.3
7.9,2.3,1,5.5,995.83,8.4,75.42,13.3,3.8
10.6,5.5,0,4.2,997.55,5.3,63.88,11.3,1.7
11,5,0,1.3,997.61,6,32.25,13.6,0.3
12,5,0,2.5,997.49,8.7,40.33,16.8,2.8
8.9,3.7,0,2.3,994.8,10.4,47.38,19,4.1
