MESS_DATUM,  Wind_max,  Wind_mittel,Niederschlagsform,Schneehöhe,  Bedeckungsgrad,Dampfdruck,  Luftdruck,Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m,Temp_min_5cm
19560101,19,6.2,8,0,8,6.3,968,1,94,2,0.6,-0.5
19560102,10,3.7,1,0,8,6.9,970.6,2.6,90,5.9,0.7,-0.2
19560103,9,4.7,0,0,2,5.2,988,-0.4,86,1.6,-1.2,-0.7
19560104,9.2,5.1,0,0,0.3,4.8,991.8,-0.8,84,1.5,-3.7,-4.1
19560105,11.5,4.3,0,0,5.3,6.1,988.7,3.2,79,6,-1.4,-2.5
19560106,11,6.1,1,0,8,6.4,983.8,1,98,3,0.2,0.9
19560107,9,3.7,0,0,3.7,4.7,977.5,-2,85,1.2,-3.4,-2.4
19560108,6.6,2.4,7,0,8,4.7,963,-2.3,91,-1.7,-5.4,-7.8
19560109,11,4.1,7,0,8,5.1,956.7,-0.7,87,-0.1,-2.3,-2.2
19560110,13.5,4.4,8,0,4.3,5.2,957.8,0,86,1.9,-3.1,-3.5
19560111,17,6.9,1,2,6,7.3,964,6,80,7.1,0.3,0.2
19560112,22,7.2,1,0,5.7,7.9,966.3,8.1,74,10.4,4.6,3.5
19560113,9.9,2.7,0,0,5.3,6.9,975.4,3.6,85,8.7,2.9,1.5
19560114,8,3.5,1,0,5.3,6.8,973.5,2.8,93,4.4,-1.6,-2.9
19560115,13,5.8,1,0,7,7.9,971.4,5,88,6,4,3.9
19560116,8,2.6,0,0,3,6.4,978.8,2.6,86,6,0.2,-0.9
19560117,4,1,1,0,1.3,5.6,975.1,0.6,89,3.7,-4.3,-4.8
19560118,14.8,4,1,0,5.3,6.9,963.9,2.4,92,6.3,-0.8,-3.8
19560119,9.1,3.1,1,0,1.3,4.4,975.4,-0.6,76,2.2,-3.7,-6.2
19560120,10.5,4.6,1,0,7.3,5.7,976.8,2.1,80,4.2,-1,-2.1
19560121,13.5,5.9,8,0,8,6.5,975.8,1.4,97,2.3,-0.5,-1.2
19560122,17,8.1,1,0,8,7.6,974.3,4.4,93,5.1,2.1,1.6
19560123,18.5,7.3,1,0,7.7,7.1,971.6,4.8,83,5.8,3.6,3.6
19560124,17.8,6.4,7,0,6.7,5.6,972.4,0.6,86,4.9,-0.3,0.2
19560125,10.5,4.1,0,1,4,4.9,980.6,-1.2,87,0.4,-1.9,-2.1
19560126,8.6,3.6,8,1,7.7,5.6,978,-0.1,96,3,-6,-8
19560127,15,5.6,1,0,8,7.7,977,4.4,85,7.7,1.5,2
19560128,8.5,3.8,1,0,5.3,5.5,986.7,0.8,85,3.5,-1.4,-2.5
19560129,6.2,3.3,1,0,8,6.7,979.8,1.9,95,3.2,-0.3,-1
19560130,8.8,3.7,7,0,7.3,5.7,974.7,-1.3,95,6.2,-3.8,0.6
19560131,15,8,0,0,5,2.3,968.8,-11.5,78,-3.8,-14.5,-7
19560201,11.6,5.5,0,0,0,1.1,978.4,-17.7,70,-14.5,-19.6,-19.4
19560202,11.8,4.2,7,0,0.7,1.3,986.6,-15,73,-12.7,-20.8,-20.9
19560203,9,3.9,7,0,6.7,3.3,990.7,-5.6,85,-3.4,-13,-14.2
19560204,7.6,3,7,1,4.7,3.6,993.6,-5.6,85,-2.7,-7,-5.8
19560205,5.1,1.7,7,0,7,3.3,993.5,-5.2,81,-3.3,-10.3,-11.3
19560206,6,1.6,0,0,5.3,4,988.7,-3.5,86,-2.2,-5.6,-5
19560207,7.7,2.8,7,0,2.3,3.3,992.7,-4.8,75,-2,-6.7,-9.5
19560208,10.5,2.2,7,0,6.7,3.3,983.6,-4.8,81,-2.1,-10.5,-13.6
19560209,17,7.3,0,2,1.3,1.5,981.6,-14,68,-3.4,-15.5,-13.5
19560210,17.5,8.1,7,1,1,1.5,979.1,-13,71,-9.8,-19.1,-18.7
19560211,19,8,7,0,4.3,1.6,971.1,-12,63,-9.7,-15.8,-16.2
19560212,10.6,3.6,7,0,3.3,2,968.3,-10.6,74,-7.6,-16.5,-17.7
19560213,3,1.2,7,1,4.7,2.4,961,-10.6,84,-5.2,-13,-14.5
19560214,6,1.3,7,7,2,2.3,966.8,-11.4,86,-7.6,-19,-23.9
19560215,12,4.1,7,8,8,3.1,966.8,-7.3,87,-4.1,-10,-10.5
19560216,3.5,0.6,7,12,2,2.1,972.6,-10.7,80,-5.3,-16.3,-14.8
19560217,5.5,0.8,7,10,4.7,2.4,974.3,-9.4,79,-5.5,-14.4,-19.4
19560218,8.1,1.8,7,9,0,2.3,971.4,-10.7,80,-7,-14.6,-19.5
19560219,5.4,0.7,7,9,5.3,2.3,969,-11.4,83,-8.5,-12.8,-13.5
19560220,5.4,0.3,7,9,2.7,2.3,972.4,-11,80,-6.4,-15,-15.7
19560221,11,3.6,0,8,0,2.4,971.1,-10.3,83,-5.6,-15.8,-17.3
19560222,9,4.5,0,7,2.7,2.8,971.1,-8.8,87,-4.7,-13.2,-14.1
19560223,7.5,3.3,7,7,3.7,2.9,974.4,-8.2,85,-4.4,-11.5,-13.3
19560224,11.5,6.1,0,7,0,3.5,979,-6.4,89,-3.1,-11.8,-13.5
19560225,12,6.4,0,7,0,2.8,979.4,-6,71,-2.2,-11.2,-12.7
19560226,11.5,4.9,0,7,3,2.8,978.7,-5.6,70,-1.7,-10.1,-12.1
19560227,9,4.3,0,6,1,3.2,982.4,-4.7,75,0.4,-11.2,-12.9
19560228,11.6,2.9,8,5,7.7,4.3,985.1,-2.8,87,0.4,-10,-13.4
19560229,14,5.5,1,5,8,6.7,984.8,1.8,98,2.9,-1.2,-2
19560301,16,6.5,1,0,4,6.5,985.4,4.2,79,7.3,1.6,0.3
19560302,17.5,8.7,1,0,8,9.5,975.6,7.6,93,8.5,3,1.9
19560303,15,7.3,1,0,8,10.3,975.6,7.9,95,8.8,7.2,6.5
19560304,20,7.5,1,0,5,8,973,5.4,84,8.7,3.7,5.5
19560305,14,4.2,7,0,4,4.9,982.4,1.6,71,5.4,0.4,-1.4
19560306,11.5,3.7,1,0,6.7,5.3,983.5,2.9,73,6.4,-2.6,-4.9
19560307,11.7,4.7,1,0,3,5.3,984,1.6,72,6.2,-0.7,1.5
19560308,9.5,3.9,0,0,0.3,3.2,991.4,-2.2,63,1.3,-4.5,-5.3
19560309,10.6,4.3,0,0,0.7,3.3,988.2,-1.7,64,2.3,-6.6,-6.3
19560310,10.1,4.3,0,0,0,3.6,983.2,0.1,60,5.2,-5.7,-7.1
19560311,10.5,4.8,7,0,2,3.7,983.8,-1.4,68,2,-3,-4.9
19560312,7.7,3.6,7,0,5,4.1,983.5,-2.4,79,-0.4,-3.3,-3.8
19560313,9,4.1,7,0,3,4,982.7,-0.2,67,2.8,-5.7,-6.8
19560314,5.2,2,7,1,8,4.9,976,-0.4,84,2.6,-2.6,-6.2
19560315,8,3.8,0,0,1.3,4.3,970.6,1.7,64,7.4,-3.5,-4.6
19560316,6.5,3.6,0,0,1.7,4.8,973.5,4.4,60,10.7,-2.3,-4.6
19560317,8,3.9,0,0,4.3,4.4,975.8,6.3,49,12,0,-2.4
19560318,8.5,4.4,0,0,3,5.5,972.2,5.9,62,12.2,-0.2,-1.8
19560319,8,4.4,0,0,7.7,6.4,967.9,6.7,69,11.4,1.3,0.7
19560320,10.2,4.4,1,0,7,6.7,965.1,5.7,73,10.9,2.2,0.5
19560321,10.5,4.2,1,0,7,7.1,963.4,9.5,62,12.2,4.6,2.5
19560322,8.1,3.2,1,0,7.3,7.9,969.8,5.2,87,10.6,3.5,0.3
19560323,12,5.6,1,0,3.7,7.9,967.1,7.1,77,11.6,3.3,1.4
19560324,8.5,3.4,0,0,7.3,7.9,963.2,8.9,73,15.7,1,0.3
19560325,6.2,2,1,0,8,9.5,968.6,9.3,81,13.4,5.1,1.7
19560326,3.5,0.9,1,0,7.7,10.9,975.1,9,95,10.9,7.2,6
19560327,8.7,2.3,1,0,7.7,9.2,979.1,9,78,14,6.3,5.4
19560328,13.5,6.6,0,0,4.3,6.1,979.4,5.8,69,9.5,0.6,-0.6
19560329,11,4.9,0,0,5,7.1,979,9.7,61,14.4,2.5,0.3
19560330,5.5,1.2,1,0,7.3,7.6,978.2,12.7,57,18.4,4.2,1.2
19560331,6,2,1,0,3,10.3,977.1,10.2,81,15.1,7.7,7.4
19560401,12.5,3.2,0,0,7.3,7.1,977.1,5.8,77,10.5,2.2,1
19560402,8.3,3.5,0,0,1.3,6.1,981.5,6.5,65,11,2.2,1
19560403,12.5,3.5,1,0,2.3,5.6,975.6,6.7,65,13,-0.9,-3.9
19560404,9.8,3.4,1,0,6,6,971.1,3.6,75,7.7,2,1.6
19560405,7.5,2.9,7,0,6,5.5,965,-0.5,93,1.9,-2.4,-4.5
19560406,11.3,3.7,7,2,3.3,4.9,971,-0.7,83,2.5,-2.3,-5.5
19560407,9,2.9,0,0,2,3.7,983.9,1,59,4.8,-4.5,-6.7
19560408,6.5,1.6,0,0,5,4.5,985.6,2.6,63,6.8,-2.1,-5.5
19560409,8,1.7,0,0,2.3,5.2,983.8,8.1,52,13.4,0.1,-3.6
19560410,9,2.4,0,0,0.7,6.3,978.6,10.6,51,17.8,2.3,-2.1
19560411,9,2.5,1,0,7.7,7.6,974.3,11,59,16,4.9,1.1
19560412,9.8,2.2,1,0,8,10.5,971.8,10.4,84,14.8,5.7,4.9
19560413,11,5.7,1,0,7.3,10.8,967.2,10.9,84,13.9,9,8.3
19560414,9.6,4.2,1,0,8,12.1,960.6,10.8,94,12.3,9.1,8.3
19560415,12.2,3.2,1,0,7,11.1,961.8,9.8,91,13.9,9.6,9
19560416,11.1,4.8,8,0,8,8.9,964,5.5,95,9.7,4.1,6.3
19560417,7.9,2.8,8,0,8,6.4,973.6,2.1,91,4.1,0.4,0
19560418,9,2.4,7,0,7.3,5.6,980.2,3.2,73,5.7,1,0
19560419,9.1,2.4,8,0,7.3,5.7,982.8,2.5,79,7.2,0.2,-1.5
19560420,7.3,1.5,0,0,3,5.5,983.5,4.2,70,9,-1.3,-3.9
19560421,8.5,4.4,0,0,1,5.9,975.4,7.3,59,11.7,-0.5,-1.2
19560422,13.9,6.3,0,0,5.7,6.4,964.4,8,61,13.2,2.3,1.2
19560423,8.7,2.2,0,0,4.7,6.8,966.6,8.1,64,12.7,4.2,3.1
19560424,7.4,2.4,0,0,3,6.4,969,8.3,58,13.2,4.8,2.7
19560425,11.9,1.5,1,0,6,6.7,968.8,8.3,62,12.8,2,-1.5
19560426,7,2.1,1,0,2.3,7.3,965.9,12.2,53,16.6,4.5,2.4
19560427,8.1,3.5,0,0,3.7,7.1,962.8,13,50,18.6,6.2,3.9
19560428,11.5,3.3,1,0,5.7,9.7,966.2,9.4,81,15.5,6,3.9
19560429,10.6,2.5,1,0,7.7,9.5,969.6,8.4,85,12.7,6.8,6.6
19560430,9,3.4,1,0,5,6.7,975.2,6.8,67,10.5,4,5.3
19560501,7.5,2.5,1,0,6,7.5,979.1,4.6,90,8.4,1.8,-1.2
19560502,7.7,1.8,0,0,7,8.9,981.6,9.8,78,14.3,2.8,0.5
19560503,8.2,1.5,0,0,2.7,8.7,984.3,10.6,69,15.7,5,1.2
19560504,6,1,0,0,1.3,9.2,988.3,13.9,61,19,6.3,2.5
19560505,9,2.2,0,0,1,8.8,989.1,16.8,47,21.1,9.5,5.2
19560506,6.5,1.8,0,0,0.3,9.5,988,18.5,47,22.9,9.8,6.1
19560507,10.6,2.3,0,0,1.7,10.1,987.2,17.8,52,23.8,10.3,6.5
19560508,10.2,2.7,0,0,2.3,9.1,987,16,53,21.6,8.5,5.2
19560509,7.8,2,1,0,1.3,11.3,983,17.4,57,22.5,8.6,5.3
19560510,17.8,5.9,1,0,6,9.5,978.2,10.9,73,16.2,9.6,9.6
19560511,7.1,2.7,1,0,7,9.2,982.6,11.6,70,14.1,5.3,3.8
19560512,12.4,3.7,1,0,6.7,9.5,980.4,10.5,73,13.3,9.2,8.9
19560513,9.5,2.7,0,0,3,8,989.4,10.2,65,13.7,3.5,1.1
19560514,4.6,1.3,1,0,6,9.2,989.1,12.9,65,16.5,5.3,2.2
19560515,7,2.2,0,0,5,9.2,988.7,13.1,62,16.6,9.8,9
19560516,6.7,2.2,0,0,1,9.6,985.9,14.9,57,19.9,7.2,4.1
19560517,9.2,2.8,1,0,7,11.1,980.2,12.4,75,20.2,8.4,6.2
19560518,9.8,2.4,1,0,7,9.1,975.8,10.7,72,14.9,7.2,7.1
19560519,7.1,2.9,1,0,5.3,6.7,975.5,8.8,60,12.5,5.3,3.9
19560520,6,2.2,0,0,1.3,6.7,978.8,9.2,58,14.3,2.6,-0.4
19560521,8.1,3.9,0,0,1.3,7.2,974.3,12.4,52,17.8,3,0.6
19560522,7.4,3,1,0,7,12.3,971.5,16.6,66,21.9,8.2,7.1
19560523,5.4,1.9,1,0,5.3,15.6,977.8,15.2,89,19.9,12.8,12.3
19560524,12,1.9,1,0,7.7,13.6,976.4,14.7,81,22.4,11.3,10.2
19560525,10.9,3.8,1,0,7.7,11.6,975,10.2,92,12.8,9.5,10
19560526,9.8,2.1,1,0,3.3,10.3,983.9,12.5,73,18.2,5.5,3.5
19560527,10.2,5.4,0,0,1.7,12.3,983.9,16.4,68,22.3,7.6,7
19560528,10,5,1,0,3.3,14.4,978.2,22.2,57,28,13.4,12.4
19560529,19.8,2.7,1,0,5.7,16.7,976.3,19.5,72,25.8,16.1,14.4
19560530,7,1.7,1,0,6,15.6,977.4,19,74,24.4,12.2,10.8
19560531,9.8,2.9,1,0,5.3,14.3,975.4,15.9,77,20,13,13
19560601,8,2.3,1,0,8,12.1,979.9,13.4,79,16.3,10.4,8.3
19560602,4,1.1,0,0,7,12.5,984.2,14.5,76,17.3,10.6,10.4
19560603,7.5,2.1,0,0,7.3,12.5,980.4,14.5,77,18,10.5,7.3
19560604,12.3,3.8,1,0,7,13.6,971.9,19,64,23.2,11.3,8
19560605,11.4,3.5,1,0,7.3,15.1,974.2,15,87,19.2,13.8,12.5
19560606,11,3.2,1,0,6,15.5,974.3,16.5,81,19.8,13.6,12.7
19560607,14.3,3.1,1,0,7.7,13.6,972.7,11.9,94,17.2,10.1,12.2
19560608,12,4.5,1,0,7.3,10.4,975,9.8,86,13.2,7.1,7.1
19560609,6.5,2.1,1,0,7.3,9.6,977.8,10.6,76,14.4,7,6.1
19560610,9.6,3.3,1,0,6,10.8,977.6,10.2,86,13.5,8.6,8.7
19560611,11.3,3.1,1,0,6.3,10,974.8,12.8,71,17.5,6.6,5.5
19560612,12,5.1,1,0,8,13.9,976.3,12.8,96,14,10,10
19560613,7,2.9,1,0,7.3,12.5,982.3,13.6,79,16.2,12.2,13.5
19560614,7,1.6,1,0,5.3,10.7,982.6,12.3,74,15.9,7.8,5.2
19560615,18,2.5,1,0,4,9.3,983.2,9.2,79,12.2,5.8,5
19560616,4.6,1.1,1,0,6,8.1,980.2,11.8,62,15.5,3.5,1.3
19560617,8.6,3.2,1,0,7.7,13.1,973.2,12.2,91,16,9.1,8.9
19560618,5.6,2.3,1,0,7,13.1,978,13,87,16.5,10.5,10.5
19560619,8.2,2.7,1,0,6.7,12.4,982.2,14.6,77,18.1,10.2,10
19560620,12.6,3.8,1,0,6.7,11.6,979.5,13.2,74,17.3,10.7,13.2
19560621,13,2.6,1,0,7,9.1,982.6,11.5,70,14.9,5.8,3
19560622,6.5,2.2,1,0,6.3,10.1,984.2,9,89,12.1,5.7,2.2
19560623,7.5,1.8,0,0,5.7,12.1,983.6,13.1,81,18.1,8.4,5
19560624,7.9,1.4,1,0,6,11.2,979.1,12.4,77,15.8,8.2,6.8
19560625,4.5,1.3,1,0,7.7,11.5,978.6,11.6,85,14.9,9.4,9.4
19560626,6.4,2.3,0,0,5.3,13.1,979.9,14.6,80,18.5,10.2,10.2
19560627,11.8,1.9,1,0,5,12.7,980.3,14.3,77,19.3,8.9,6.4
19560628,9,2.2,1,0,5.3,11.5,976.8,14.6,69,18.8,8.7,5.9
19560629,11.5,3.2,1,0,7.3,12.7,976.4,12.6,87,15.2,10.6,10.1
19560630,8.5,2,0,0,2,13.1,975.1,16.7,69,22.4,8.9,5.6
19560701,11.5,4.1,1,0,6.7,15.3,970,17.4,75,21.7,12.6,11.1
19560702,12.6,3.1,1,0,8,15.5,970,14,94,17,12.1,13.2
19560703,9.4,3,0,0,5,13.3,981.6,14.7,79,18.7,10.4,9
19560704,10.5,2.8,1,0,7.3,14.9,983.9,15.1,89,18.9,10.4,8.6
19560705,13.9,5.2,1,0,5,17.9,979.5,21.1,73,24.9,15.7,14.7
19560706,15,5.2,1,0,4.3,13.1,982.7,16.3,70,21.7,14.9,15
19560707,7,1.6,0,0,0,15.2,984,19.2,70,24.4,11,8.3
19560708,6.5,1.5,0,0,1,17.6,981.8,22.9,63,28,15,12
19560709,17,3.8,1,0,4.3,18.9,976.6,21.2,73,29.2,17.3,16
19560710,12.5,2.4,1,0,7.3,18.7,974.6,18,87,23.9,15.5,15
19560711,9.5,3.4,1,0,8,12.1,978.6,11.8,88,15.5,10.9,11.2
19560712,4.7,2.2,1,0,7.7,13.9,977.4,13.7,89,15.6,10.7,10.9
19560713,6.9,2.2,1,0,7.3,16.8,970.6,19.1,78,23.5,13.4,13.1
19560714,7.9,3,1,0,7.7,16.5,968,15.9,91,19.7,14.9,14.7
19560715,10.9,3.1,1,0,3.7,13.7,970.6,14.6,82,20.5,12.1,11.2
19560716,11,3.5,1,0,6.3,13.7,972.3,13.8,87,17.4,11.2,9.7
19560717,5.9,1.7,1,0,6.7,14.8,977.6,15.9,83,19.5,12.6,11.9
19560718,8.4,2.3,1,0,5,15.3,975.1,18.7,72,23.4,11.7,10.1
19560719,11.7,2.8,1,0,5.7,15.1,969.8,14.2,90,18.5,12.5,13.2
19560720,9,2.8,1,0,6,13.1,969.6,13.7,83,17.4,11.5,9.8
19560721,8.1,2,0,0,4.7,13.9,975.4,14.5,84,19.5,11.3,9.2
19560722,5.1,1.5,1,0,2.3,14.7,979.5,16.8,77,21.5,10.7,8
19560723,11.3,3.2,0,0,7.3,13.7,981.1,15.9,78,19.7,11.2,9.5
19560724,13.3,4.3,1,0,7,15.2,983.1,15.8,84,20.3,11.2,10.5
19560725,6,1.8,0,0,3.7,14.3,988.2,17.2,75,22.5,9.9,7.2
19560726,7.5,1.5,0,0,1.7,15.6,983.1,19.7,68,26,13,10.4
19560727,9.7,1,1,0,2.7,15.2,972.8,21.1,62,27.6,13.8,9.7
19560728,12.4,4.2,1,0,6.3,16.5,968.6,17.2,84,20.3,15.6,13.7
19560729,16,5.2,1,0,5.3,15.1,968,18.4,71,23.2,14.3,12.2
19560730,14.5,5.7,0,0,3.3,11.1,978.8,14.4,67,18.8,10.5,8.6
19560731,10.6,4.1,0,0,7.3,11.2,983.6,13.6,72,17.2,10.9,9.8
19560801,12.4,2.9,1,0,7.3,12,978.8,13.5,77,17.7,10.5,8.9
19560802,19.7,7.4,1,0,5.7,13.3,968.8,14.2,80,17.5,11.5,11.5
19560803,12,4.4,1,0,7.7,13.1,969.4,12.2,91,15.5,10.5,9.4
19560804,13.1,3.3,1,0,6.3,12.4,972.7,12.3,85,16.6,11,11.1
19560805,7.2,1.8,1,0,4.7,11.2,975.8,12.9,76,17.4,9.3,7
19560806,8.1,3.1,1,0,7,13.2,978.3,13.8,83,19,7.6,4.8
19560807,9,2.6,1,0,5,13.2,985.1,13.3,85,19,10.6,8.8
19560808,4,0.9,0,0,0.3,12.1,988.3,15.8,70,21.8,7.8,6.2
19560809,8.6,3.2,0,0,0.7,13.5,983.4,18.8,64,24.4,10.3,8
19560810,13.1,4.6,0,0,3.7,17.6,972.4,18.9,76,28.5,13.9,14
19560811,11.4,4.3,1,0,7.3,15.6,969.4,14.7,93,19.3,14.1,14.1
19560812,9.4,3.4,0,0,5,11.5,977,13.2,75,18.1,11.4,13
19560813,9.7,2.9,1,0,5,12.3,973,15.8,69,20,8.7,6.4
19560814,11,3.7,1,0,5.3,12.7,973.8,14.5,74,19,11.7,14.6
19560815,6.3,1.5,0,0,2,10.9,978,13.6,71,18.8,7,5.6
19560816,10.3,2.4,0,0,5.3,12.3,974.4,15.9,68,21.2,10.5,9
19560817,13.2,3.5,1,0,4.7,13.6,970.3,17.7,68,23.5,11.8,9.1
19560818,12,4,1,0,6.3,16.5,967.8,17,86,19.5,14,13.1
19560819,13.7,4.7,1,0,6.3,13.7,972,15.9,76,20.2,12.9,12
19560820,7,1.8,1,0,7.3,15.5,973.5,16.5,82,20.3,12.5,9.4
19560821,9,2,0,0,4.3,11.6,976.3,14.5,70,19.5,12.6,12.4
19560822,6.2,2.3,1,0,7.3,12.5,970.6,12.8,85,15.5,8,4
19560823,6,1.9,1,0,5,11.6,968.6,11.4,85,15.5,10.1,10.6
19560824,14.6,5.3,1,0,7.7,12.9,962.6,12,92,14,9,5.9
19560825,23.5,7.1,1,0,5.3,12.5,958.6,13.9,77,17.4,11.8,11.5
19560826,11.2,4.4,1,0,7,11.9,971,14.6,71,19.8,10.6,9.4
19560827,12,3.8,1,0,6,14.9,969.5,13.7,94,16.5,11.6,9.8
19560828,14.3,4.4,1,0,5.7,12.5,974.4,13.9,78,19.7,10.6,9.3
19560829,13.5,2,1,0,5,10.7,977.4,12,77,18.5,7.8,4.3
19560830,8.1,2.9,1,0,4,11.2,981,11,84,15.7,9.6,9.6
19560831,10,3.2,1,0,5,11.1,979.4,13.4,74,17.7,4.9,2.5
19560901,9.6,3.8,1,0,6.3,14.5,977.2,15.6,83,19.9,11.1,10.5
19560902,8.5,2.3,1,0,7.7,16.1,980.2,14.7,95,17,13.4,12.5
19560903,8,2.5,1,0,5,12.3,980.3,12.4,85,17.3,10.6,11
19560904,9.4,2.7,1,0,5,12.1,979.4,11.9,86,15.7,9.5,6.9
19560905,7.2,3,0,0,6.3,14,973.5,16.2,76,21,10.5,8.5
19560906,12.4,3,1,0,6.3,14.7,973.8,14.6,88,17.2,13.5,10.7
19560907,10.6,4.2,1,0,7,13.1,977.6,13.9,82,17.6,12,10.8
19560908,6.1,2.7,0,0,4,13.2,976.2,14.2,81,19.5,11.2,10.3
19560909,9.9,3.2,1,0,4.7,14.3,971.4,15.4,83,20.4,11.2,9.7
19560910,9.6,2.1,1,0,7,16.4,974.6,16.6,87,20.7,13,11.1
19560911,11.6,3.2,1,0,4.3,14.7,981.5,15.6,82,20.8,11.5,9.9
19560912,11,4.5,1,0,7.7,12.9,981.5,13.4,84,15.1,11.4,12.5
19560913,11.9,4.4,1,0,7.7,14.3,980,13.5,94,14.7,11,10.8
19560914,6.4,2.5,0,0,1.3,11.2,984.4,13.3,74,18.2,9.7,8.2
19560915,8.8,3.8,0,0,0.7,10.7,984.4,13.8,68,20,7.2,8
19560916,5.9,1.5,0,0,2.3,15.7,981.4,16,86,22,9.1,5.8
19560917,10,4.5,0,0,0.7,10.7,981.4,11.8,75,17.4,9.4,10.4
19560918,11.1,5.2,0,0,0.7,11.5,982.4,13,76,17.6,8.7,6.9
19560919,8.2,3,0,0,2,10.9,983.5,12.4,76,19,7,4.9
19560920,3.5,2.1,0,0,4,14,980.4,16.1,78,22.1,8.2,4.5
19560921,5.1,2.9,0,0,1.7,14.5,976.2,16.7,76,23.3,10.7,7.6
19560922,7,4.2,0,0,3,14.1,975,17.3,72,22.9,11.6,9.8
19560923,7,4.3,0,0,2.3,14.1,977.4,15.8,79,22,12.3,10.2
19560924,7.5,5.3,0,0,1.3,15.2,974.6,17.3,76,23.6,11.8,10.9
19560925,7.8,1.6,1,0,4,16.3,973.4,15.2,93,20.5,11.4,9.4
19560926,9.5,3.3,1,0,7.3,14.4,967.8,14.6,86,16.4,13.3,11.1
19560927,10.8,4.3,1,0,8,13.3,974.4,12.2,92,14,11.4,12.6
19560928,14.6,6,1,0,8,14.4,976.3,14.9,86,15.8,10.3,10.2
19560929,15.6,4.4,1,0,7.3,15.6,980.8,15.8,85,19.4,14.1,14.9
19560930,4.8,1.6,0,0,3.3,15.7,983.2,18,76,23.5,13.2,11.3
19561001,8,2.8,0,0,2.7,16.7,980,18.4,79,22.8,13,10.6
19561002,11.7,3.5,1,0,7.7,15.1,974,15.4,85,18.5,14.2,11.5
19561003,7,2.9,0,0,6.3,12.7,976.2,12,87,14.9,10.7,12.4
19561004,13,4,1,0,7.7,10.4,977.4,9.4,87,12.4,7.7,5.6
19561005,13.5,4.2,1,0,7.3,8.1,970.8,6,86,8.6,4.3,6
19561006,10.5,4.1,1,0,6.7,8.8,974.6,6.4,91,8.6,4.4,4.8
19561007,10.1,3.3,1,0,6,8,978.7,5,90,6.5,4.3,4
19561008,5,1.1,0,0,2.7,6.8,983.8,4.6,80,9.6,-0.5,-1.5
19561009,3.1,0.7,0,0,7.3,8,985.1,7.5,80,10.9,2.6,-1.4
19561010,13.7,3.7,0,0,2.7,9.2,988,7.8,85,11.7,4.1,1.3
19561011,7,3.1,0,0,1,8.3,990.4,7.7,80,14.4,2.2,0.6
19561012,5,1.4,0,0,3.3,9.9,990.3,8,92,13.1,1.3,-1.1
19561013,3.8,1.2,1,0,5.7,9.6,990.4,6.8,96,11,2.9,0.6
19561014,7.8,2.4,1,0,2.7,9.7,987.2,10.2,81,16.3,3.8,3.8
19561015,9.2,4.2,0,0,2.7,9.7,983.2,7.8,91,10.9,6.8,6.5
19561016,6.8,2.5,0,0,6.3,11.5,982.8,11,88,15.8,5.6,3.5
19561017,8.5,2.5,1,0,7.3,13.3,983.9,12.6,90,15.5,10.2,7.8
19561018,10.6,4,1,0,8,13.5,981.4,13,91,14.9,11.1,10.4
19561019,6.5,2.9,1,0,7.7,14.5,983.5,13.2,93,16.2,11.7,12.4
19561020,10.8,3.5,1,0,5.7,12.8,981.2,12.5,88,15.4,10.2,10
19561021,4.6,1.2,1,0,3.7,12,989,10.6,91,16.2,8.5,10.3
19561022,3,0.7,1,0,7.7,10.9,991.2,8.2,99,11.8,4.4,3.1
19561023,3.5,0.9,1,0,2.7,11.5,987.6,9.7,94,16.4,6,6.5
19561024,6.4,2.2,0,0,6.3,11.7,980.7,11.1,89,16,6.4,4.2
19561025,10.8,4,1,0,4.7,9.1,974.6,7.2,84,11.9,4.6,8.9
19561026,6.2,2.3,1,0,8,7.1,975.8,3.6,89,4.6,2.2,0.8
19561027,9.5,3.2,8,0,8,6.8,970.6,2,95,4,1.5,2.5
19561028,7.7,3.3,8,0,4.7,6.9,976.2,3.7,89,5.4,1.2,1.4
19561029,12.5,4.6,1,0,6.7,7.5,967.5,3.4,92,6.8,1.7,1.6
19561030,9.2,3.3,1,0,4.3,6.3,973.1,2.4,85,7.1,0.5,-1.6
19561031,14.1,6.8,1,0,8,6.1,983.2,0.9,90,3.4,-0.7,0.4
19561101,12.9,5.8,0,0,2.7,4.9,980,0.2,77,3.6,-1.8,-1.3
19561102,7.1,1.7,1,0,5,6.4,972.6,2.5,87,4.9,-3.2,-5.9
19561103,3.9,1.7,1,0,7.3,6.9,977.1,2.4,96,3.7,-0.9,-2.9
19561104,9,3,1,0,7.7,8.7,978.3,6.6,89,9.3,2.6,2.6
19561105,7.2,3.7,1,0,6.7,8.8,983,6.4,92,7.1,5.4,5.2
19561106,6.5,2.6,0,0,7.7,8.1,991.8,5,93,6.9,2.2,-1.1
19561107,4.4,1.8,1,0,5,7.5,991.2,3.9,90,6.1,2.7,3
19561108,8.1,4.2,0,0,0,6.7,980.8,2.7,88,8.4,-0.8,-3.3
19561109,7.5,3.1,1,0,2.7,7.7,976.6,6,83,10.2,-1.2,-2.8
19561110,6.8,2.9,1,0,7,10.1,976.6,7.7,94,10.1,5.5,5.4
19561111,9.9,3.3,1,0,7.7,10.1,972.3,7.8,93,9.7,6.3,4.9
