  Wind_max,  Wind_mittel,Niederschlagsform,Schneehöhe,  Bedeckungsgrad, Dampfdruck, Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m, Temp_min_5cm
6.5,2.2,0,0,4.6,6.4,983.88,3.3,83.54,8.3,-1.8,-3.3
8.6,3.1,1,0,5.9,7.1,981.36,3.9,87.46,5.7,0.9,-0.8
4.1,1.9,1,0,8,8.7,979.67,5.3,97.33,5.9,4.8,4.6
7.2,2.5,1,0,8,8.5,985.35,5.5,93.63,6.7,4.3,3.1
12.5,5,1,0,7.8,8.2,982.04,4.7,95.46,7,3,3.1
13,5,1,0,7.9,9.3,974.82,6.7,94.33,9.7,4.2,2.9
12.9,3.1,1,0,7.5,7.8,967.05,4,95.25,6.5,1.7,0.4
8.6,2.6,1,0,4.9,7.1,978.48,3.8,88.38,7.5,-0.4,-2.8
4.6,1.2,0,0,5.3,6.3,987.45,1.1,95.71,6.5,-2.3,-3.4
5.7,1.9,0,0,6.2,6.4,987.93,1.8,92.04,6.5,-0.5,-1.4
7.7,2.6,1,0,6.7,6.4,986.38,1.1,96.58,2.1,0.1,-2
3.1,1.1,1,0,7.8,7.5,987.61,3.3,96.29,6.2,0.8,1.1
13.7,3.8,1,0,7.6,7.2,984.38,4.2,86.79,5.7,3.2,1.8
12.2,4.6,1,0,5.6,6.7,981.77,4,82.67,6.9,-0.5,-3.3
11.8,4,1,0,7,6.5,982.86,1.7,93.67,4.6,-1.1,-3.6
10.8,5.7,1,0,8,8.8,978.77,5.8,95.54,6.8,4.6,4.5
9.1,4.1,0,0,4.2,8.1,974.31,7.7,77.63,12.1,3.4,0.5
15.9,7.2,1,0,6,9.3,972.05,11.6,68.33,14.9,7.8,4.8
12.9,6.4,1,0,7.7,10.7,974.15,10.7,82.67,11.9,9,8.6
10.3,4.1,1,0,7.3,8.1,975.2,5,91.88,9,1.4,-1
9.3,4.6,1,0,7.5,6.2,985.96,2,88.46,3.3,1.3,0.7
17,7,1,0,8,7.1,982.73,3.1,93.04,4.3,1.2,0.3
15.8,5.6,1,0,7.6,7.3,970.5,3.4,93.92,4.4,1.8,1.9
7.2,3.2,1,0,6.8,6.3,967.95,1.8,91.04,2.9,0.5,-1.5
9.6,3.7,1,1,7.6,6,967.89,0.6,93.46,2.4,-1.4,-2.7
6.7,2.3,1,0,6.9,5.4,974.92,-0.2,89.42,1.5,-1.2,-2.9
8.6,3.4,1,0,4.5,4.7,985.6,-1,83.04,1.6,-3.3,-5.5
7.7,3.2,1,0,7.8,4.6,988.08,-1.8,86.29,-0.9,-2.3,-2.3
6.7,3.8,1,1,8,6.3,993.05,0.6,98.46,2.3,-1,-0.9
7.2,3.2,0,0,8,7.2,997.65,3,94.54,4.4,1.8,1.9
4.6,2.3,0,0,7.7,6.9,994.33,3,91.29,3.9,0.5,-1.4
15.6,6.6,1,0,6.3,6.3,982.03,2.8,84.83,6.4,-1.3,-1.3
16.3,5.8,1,0,5.9,6.4,974.73,2,89.88,6.1,-1.4,-3.8
12.9,6,1,3,7.2,4.6,977.65,-1,81.33,-0.2,-2,-4
18.5,6.5,1,1,7.8,6,955.57,1.3,87.92,6.7,-2.7,-2.7
17.1,6.1,1,0,7.7,8.5,945.39,6.7,86,9.1,3.9,3.1
19,6.6,1,0,6.7,5.6,970.05,1.4,83.54,3.8,-0.4,-2
18.9,6.9,1,1,6.5,6.2,970.07,1.4,90.38,5.1,-0.8,-2.2
25.7,7.9,1,0,7.4,6.8,959.67,3.8,84.42,5.4,1.5,0.3
14.1,5.2,1,0,7.7,6.6,959.54,2.4,90.79,4.1,0.6,0.1
7.2,2.7,1,0,7.3,6.5,973.18,2,92.29,3.2,1.2,0.5
8.7,3.3,1,0,7.3,5.6,985.51,0.3,89.71,1.3,-0.7,-2.4
10.5,2.5,1,5,8,6.1,984.74,0.6,95.67,1.8,-0.4,-0.4
5.7,1.3,1,1,8,6.8,994.55,2,95.75,3.4,0.5,0.3
4.1,1.8,1,0,8,7.8,995.15,3.8,97.75,4.6,2.9,2.6
6.9,2.8,1,0,8,8.9,996.94,5.5,98.5,6.5,4.1,4
6.2,2.7,1,0,8,9.9,996.1,7,98.42,8,5.8,5.7
10.3,3.9,1,0,8,9.4,996.53,6.9,94.96,7.4,6.2,5.8
9.3,5.4,1,0,8,8.6,991.18,5.5,95.63,6.2,4.4,4.2
8.7,4,1,0,7,6.9,981.48,2.5,94,4.4,0.7,-1.3
18.5,6.4,1,0,4.9,7.2,967.67,5.1,81.96,8.8,2.7,0.7
12.9,5,1,0,7.5,7.1,951.12,4.1,86.96,5.5,1.6,0.4
12.3,5.4,1,0,7.4,5.7,963.23,1.1,86.5,2.7,0.1,-1.3
14.6,6.2,1,0,7.6,5.7,969.48,0.9,88.04,3.8,-0.3,-0.4
16.3,7.3,1,0,7.8,9.9,968.33,7.7,91.38,12.8,2.1,0.6
19.5,8.3,1,0,7.3,10.2,970.82,10.7,78.88,12.3,8.5,7
18.2,8.9,1,0,7.5,7.5,967.52,6,80.42,8.6,4.3,3.1
14.2,6.7,1,0,7,7.5,974.54,4.8,87,5.9,2.7,2.1
25,10.9,1,0,7.3,8.3,963.97,6.9,82.88,9.7,5,3.9
18.2,7.7,1,0,7.5,9.9,963.3,8.1,90.54,12,5.2,3.7
14.1,5.8,1,0,7.8,9.5,964.29,7.7,90.13,8.8,6.9,5.3
9.4,2.7,1,0,7.9,9.4,969.33,7,93.29,7.9,5.9,4.9
14.9,7.6,0,0,8,7.8,978.82,4.6,92.08,5.9,3.5,3.4
14.4,7,0,0,7.5,7.4,980.03,4.9,84.79,6,3.6,3.5
12.7,3.4,1,0,7.2,7.8,974.11,5.6,85.46,7.7,2.1,0.8
11.8,3.5,1,0,7.6,8.3,973.25,5.9,89.5,7.8,4.9,3.1
4.6,1.4,0,0,7.2,8.6,977.5,5.8,93,8,3.4,1.3
6.7,2.1,0,0,5.6,7.7,985.71,4.7,89.42,7.5,1,-0.9
11.1,4.8,0,0,6.3,6.1,984.48,2.9,80.29,4.1,0.6,-0.9
8.7,4.2,0,0,0.8,5.5,981.88,0.6,85.5,3.9,-2.7,-4.4
19.2,6,1,0,6.6,6.5,973.55,2.8,85.92,5.9,-2.7,-4.4
21.3,8.1,1,0,7.3,7.5,961.22,5,86.08,6.8,2.2,1.4
18.3,8.7,1,0,6.9,5.9,967.76,2.6,79.63,4.6,-0.1,-0.1
21.1,8.2,1,0,6.5,7.4,967.26,4.9,85.46,8.6,1.5,0.6
14.2,5.5,1,0,7.1,6.5,972.56,2.8,86.88,4.4,1.5,1.1
10.3,3.8,1,0,7.9,6.5,967.67,1.5,95.29,2.3,0.2,-0.1
9.3,3.3,1,0,6.6,5.9,975.68,1.9,84.75,3.8,0.5,-0.7
9.3,2.8,1,0,7.6,9.2,973.56,6.3,94.17,9.9,1.3,1.1
10.3,4.2,1,0,7.7,8.1,986.25,6.3,84.79,7.4,5.1,3.9
12.3,5.8,1,0,6.9,9.6,982.97,8.4,87.08,10.5,7,5.2
13.4,4.6,1,0,7.9,9.5,976.95,8.1,88.29,9.5,6.1,5.7
5.7,1.4,1,0,8,8.7,980.54,5.5,95.92,7.1,3.8,2.5
8.7,1.8,1,0,6.7,7.3,992.35,2.8,96.83,4.8,-1.5,-2.6
11.8,6,1,0,8,8.3,996.43,5,94.58,6.4,3.1,2.3
14.6,6.8,1,0,8,9.3,992.85,7,92.96,7.9,6,5.7
8.7,2.6,1,0,7.2,9.2,990.15,7.1,91.08,9.2,4.5,2.6
16.3,7.1,1,0,8,8.8,974.68,6.1,93.21,7.1,2.7,2.4
12.9,5,1,0,6.3,6.3,966.04,2.2,87.63,4.7,-0.4,-2.4
10.3,4.4,1,0,7.8,6.2,968.76,1,94.38,2.7,-0.5,-1.2
6.2,2.4,1,0,7.4,6,969.52,1.2,90.08,3.3,0.2,-1.1
7.9,2.2,1,1,7.9,5.3,977.21,-0.6,89.25,0.7,-1.9,-2.5
13,6.2,1,4,6.5,4.9,981.6,-0.5,84.17,1.3,-1.7,-2.5
9.9,4.2,1,2,6.7,4.7,973.61,-0.7,80.96,1.9,-2.5,-4.2
6.2,1.7,0,0,3,4.5,974.95,-1.5,82.67,2.7,-5.1,-7.1
5.1,1.4,0,0,7.5,4.8,980.43,-0.4,81.92,1.8,-1.8,-2.3
6.7,2.8,1,0,8,5,977.4,-0.4,84.08,0.8,-1.7,-2.4
8.2,3.5,1,1,7.7,5.6,978.41,0.1,90.25,1.8,-0.6,-2
14.1,6,1,0,7.8,5.9,970.05,0.8,91,2.6,-0.8,-1.1
10.6,4.4,1,0,4.9,4.7,976.87,0.2,76.67,3.3,-3.8,-7.1
9.9,2.8,0,0,1.9,3.9,975.61,-0.9,69.92,3.7,-4.6,-7.2
7.5,3.2,1,0,2,3.7,977.14,-1,66.79,4.4,-5.8,-9
7.4,2.9,1,0,8,6.6,977.43,2.6,88.33,5,-0.4,-0.7
6.7,2.1,1,0,6.1,6.6,986.35,4.2,80.08,8.5,-0.6,-3
9.8,3.9,1,0,7,5.7,982.69,0.4,91.21,1.6,-3.3,-5.2
7.7,2.5,0,1,2.3,4.8,987.11,-1.4,87.83,3.1,-5.1,-7.9
6,1.3,0,0,7.5,4.6,980.99,-0.2,77.13,1.1,-1.1,-2.1
8.2,2.4,0,0,6,4.4,978.25,-0.1,73.21,3,-2.7,-5
12.2,5.2,0,0,2.6,4,981.23,0.4,64.92,4.7,-3.1,-5.3
16.1,7.2,0,0,1.6,3.4,979,-1.1,60.13,2.8,-3.5,-4.9
13.2,6.9,0,0,0.3,3,977.81,-1.8,56.13,1.8,-4.8,-6.1
16.3,8.4,0,0,0.5,2.7,979.36,-1.5,51.71,4.3,-5.7,-6.7
16.1,7,0,0,1.3,2,983.96,-4.1,44.46,-0.6,-7.2,-8.3
14.9,6.7,1,0,2.5,1.9,983.71,-6.7,52.21,-3.6,-9.8,-12.3
