Wind_max,Wind_mittel,Schneehöhe,Bedeckungsgrad,Dampfdruck,Luftdruck,Temp_mittel,rel_Feuchte,Temp_max_2m,Temp_min_2m,Temp_min_5cm
8.2,3.8,0,6.8,12.7,979.23,12.2,89.08,15.2,8.2,5.9
4.6,1.9,0,7.7,7.5,992.1,3.4,96.0,5.9,2.9,0.8
8.0,2.6,0,6.7,5.5,966.8,3.6,70.0,7.4,1.3,-1.2
8.9,3.1,0,4.7,12.8,979.8,14.6,76.0,21.4,9.1,8.5
7.6,2.1,0,5.2,18.0,983.9,23.4,65.0,29.7,15.1,11.7
12.0,2.9,0,4.7,12.9,972.6,14.2,78.0,18.7,12.5,11.6
7.3,1.8,0,3.3,8.0,986.2,6.6,78.0,10.5,4.2,6.4
24.0,7.0,0,5.7,7.4,976.55,4.3,88.29,6.6,2.1,0.3
15.6,7.7,0,8.0,4.3,974.5,-2.2,83.0,-0.7,-3.4,-3.9
18.0,6.3,0,5.0,5.4,987.7,3.9,70.0,9.0,0.8,-1.2
7.4,2.7,0,7.3,6.3,975.8,1.6,91.0,4.5,-0.3,-1.0
3.0,1.3,0,4.7,14.4,979.4,19.0,68.0,23.5,11.5,10.2
5.8,1.9,0,3.3,9.7,983.9,13.6,63.0,19.2,4.8,2.1
13.0,5.6,0,0.3,16.1,981.0,24.2,56.0,30.3,16.0,12.6
7.4,3.3,0,8.0,5.0,982.5,-1.7,95.0,0.1,-5.8,-8.0
16.8,4.3,0,5.0,5.5,976.3,2.6,75.0,6.7,0.2,-1.1
3.1,0.6,0,2.7,16.4,977.5,17.2,83.0,22.3,14.8,12.4
9.9,1.7,0,7.7,11.1,977.9,9.4,94.0,14.1,6.9,0.6
9.1,2.2,0,3.6,9.5,980.9,16.5,53.04,23.0,9.5,7.2
9.0,2.8,0,7.3,6.7,964.8,2.0,92.0,4.4,0.2,1.2
12.9,3.4,0,6.8,16.0,978.51,16.9,82.83,20.4,13.7,11.8
7.8,2.6,0,7.9,14.7,976.0,15.4,85.0,19.0,12.8,12.7
9.7,3.9,0,5.7,10.1,977.1,8.2,94.0,11.3,4.5,3.3
7.4,3.1,0,0.5,8.8,984.24,17.4,49.17,25.5,8.2,6.8
10.8,4.4,0,6.5,15.2,978.2,15.9,84.0,20.3,12.9,10.8
10.3,4.0,0,3.8,9.3,977.51,13.1,64.96,19.6,8.2,5.4
7.7,3.1,0,4.7,16.3,982.99,20.4,69.08,25.2,15.7,14.0
13.7,7.0,4,0.0,2.0,978.2,-12.2,81.0,-8.5,-14.4,-14.4
8.3,3.1,0,7.7,9.2,970.4,6.8,90.0,8.7,5.6,0.6
13.0,6.2,0,2.7,3.3,980.0,-1.9,63.0,1.0,-5.5,-6.6
7.8,1.3,0,7.0,15.6,974.8,16.1,86.0,21.9,11.3,9.3
9.0,3.7,0,7.0,7.8,964.9,3.8,96.0,6.0,3.2,3.0
12.3,5.4,0,7.4,5.7,963.23,1.1,86.5,2.7,0.1,-1.3
6.3,1.8,0,4.3,11.2,992.6,11.4,83.0,17.2,5.2,2.5
8.3,2.0,0,4.3,17.2,978.6,17.0,88.0,20.1,14.3,15.3
7.6,3.0,0,2.3,16.3,979.9,18.5,76.0,25.4,14.2,12.5
8.3,2.8,0,3.0,5.8,991.8,1.3,88.0,5.2,-2.5,-5.9
12.3,4.8,0,7.0,6.6,960.1,1.9,94.0,4.2,0.6,-0.1
5.0,1.7,0,5.1,14.1,977.0,15.3,80.0,22.1,8.9,4.9
5.5,1.9,0,6.0,16.3,975.0,18.4,78.0,24.3,12.9,8.9
9.0,4.0,0,1.3,7.5,990.3,12.8,52.0,17.7,5.3,4.5
6.0,1.4,0,5.3,15.5,978.0,17.7,77.0,23.4,12.2,7.9
10.8,5.5,0,4.3,5.7,974.2,3.6,73.0,9.4,0.3,-1.1
9.2,4.1,0,7.8,8.6,969.6,4.8,97.0,8.8,-0.5,-0.3
7.4,2.6,25,8.0,6.3,950.3,0.6,97.0,2.8,-0.4,-0.7
12.2,5.3,3,7.7,3.0,968.9,-5.0,71.0,-2.3,-7.3,-8.0
7.6,1.9,0,3.5,15.2,981.5,22.0,59.0,28.7,13.2,9.8
11.1,3.5,0,6.3,10.7,973.8,12.2,75.0,17.0,8.1,6.3
14.9,6.7,0,2.5,1.9,983.71,-6.7,52.21,-3.6,-9.8,-12.3
8.3,2.4,0,5.7,4.8,971.6,1.4,74.0,4.8,-2.1,-4.9
7.1,1.8,0,2.3,10.4,988.2,11.2,77.0,15.8,8.2,6.6
7.6,3.2,0,1.7,9.5,973.4,14.9,57.0,20.6,8.4,3.8
5.2,0.8,0,7.3,6.8,973.7,3.6,87.0,5.2,0.9,-2.4
8.7,3.6,0,7.0,15.5,981.15,15.0,90.67,18.2,10.5,8.9
8.5,2.4,0,3.3,9.3,985.9,10.2,73.0,15.0,8.4,7.2
14.5,2.5,3,8.0,4.9,971.2,-1.2,88.0,-0.4,-3.6,-4.4
9.7,4.3,0,8.0,11.1,974.0,8.9,96.0,12.9,8.1,5.2
14.5,3.5,0,8.0,11.4,965.0,8.7,98.0,12.1,7.7,9.3
7.2,2.7,9,5.5,4.0,994.48,-4.8,92.0,0.2,-11.2,-15.8
17.5,6.7,0,7.7,8.3,962.2,5.6,90.0,7.6,1.1,0.7
12.6,3.7,0,5.3,9.3,973.5,6.8,89.0,10.6,4.9,6.3
17.1,9.2,0,7.0,5.2,979.4,1.8,73.0,4.5,0.6,1.7
7.2,1.6,0,2.3,16.0,975.0,22.0,65.0,27.3,14.3,10.4
9.7,4.5,0,3.5,12.3,979.2,16.0,70.0,20.8,10.8,9.6
7.5,1.1,0,3.7,14.6,987.2,20.1,65.0,26.6,11.8,8.4
11.1,3.3,8,8.0,3.9,971.6,-4.6,87.0,-2.9,-5.4,-6.2
5.0,1.4,0,7.0,11.5,982.7,9.8,94.0,12.5,9.1,8.2
7.6,2.3,0,5.7,18.9,977.4,19.4,84.0,24.0,15.6,13.0
11.0,2.8,0,7.0,11.1,979.5,11.3,81.0,15.6,7.9,6.8
4.7,3.1,0,6.0,7.7,969.8,9.4,69.0,13.3,3.4,1.4
4.8,1.6,0,8.0,8.9,989.9,5.9,98.0,6.9,3.2,3.5
15.2,4.9,0,6.0,9.5,986.7,10.9,72.0,15.0,8.8,8.5
19.4,6.6,19,8.0,4.6,968.9,-3.0,94.0,-1.7,-4.3,-4.6
19.5,8.0,0,8.0,8.7,959.6,7.4,83.0,9.6,3.9,4.0
12.0,4.8,0,0.7,4.7,980.0,8.1,42.0,14.0,3.6,2.0
16.4,2.2,0,6.7,17.6,974.9,18.5,83.0,23.9,13.1,10.8
8.2,3.4,0,1.3,4.8,987.5,1.8,71.0,7.7,-1.8,-4.6
10.5,3.3,0,2.3,14.8,978.7,17.7,74.0,23.0,11.0,8.4
7.0,1.4,0,4.3,19.9,978.2,22.2,74.0,28.1,16.4,12.9
10.7,4.2,0,6.3,7.8,963.2,7.8,75.0,11.7,4.6,1.9
9.2,3.6,0,7.7,7.9,967.0,6.2,84.0,9.8,1.1,-0.4
9.1,3.3,0,6.3,16.1,977.7,20.1,67.0,25.8,16.1,15.1
9.2,1.7,0,8.0,6.0,961.8,0.1,97.0,1.4,-2.2,-3.6
10.1,3.5,0,6.0,14.0,970.6,13.2,93.0,15.2,9.7,6.6
15.1,7.2,0,8.0,9.5,978.0,7.2,94.0,8.0,6.5,5.8
8.8,2.4,0,3.8,10.1,970.1,16.0,58.0,22.9,9.9,5.9
8.0,3.3,0,7.3,5.2,972.7,-0.5,88.0,1.4,-3.4,-6.1
17.3,6.9,0,7.3,9.9,976.2,10.6,78.0,14.8,6.7,7.2
10.5,3.0,0,5.0,6.1,959.0,2.9,79.0,6.3,0.7,-0.6
12.5,4.3,0,6.0,5.9,970.9,1.5,85.0,2.5,0.5,-1.5
9.0,1.7,0,6.0,17.5,984.6,21.0,70.0,26.2,16.2,13.4
13.0,4.5,1,2.3,4.7,969.4,1.1,73.0,4.0,-3.0,-5.3
15.8,4.9,0,8.0,7.8,977.6,4.4,95.0,5.2,3.1,2.2
8.0,3.7,0,8.0,6.9,987.6,4.2,84.0,6.6,3.8,4.1
14.1,6.3,0,7.7,6.5,964.4,2.7,90.0,5.2,-1.7,-2.8
10.0,7.8,0,5.7,4.0,968.3,-2.3,77.0,0.1,-6.5,-6.7
19.2,5.4,0,7.7,7.1,966.16,3.1,93.29,5.9,1.2,0.7
11.6,3.8,0,5.1,6.0,993.3,2.0,85.0,4.4,-0.5,-2.1
